danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.572,0.336,0,-7.232,1,0.0346,0.59,0.0,0.142,0.249,133.974,audio_features,1Y3Lv6ul3BeSQltSAfwZdo,spotify:track:1Y3Lv6ul3BeSQltSAfwZdo,https://api.spotify.com/v1/tracks/1Y3Lv6ul3BeSQltSAfwZdo,https://api.spotify.com/v1/audio-analysis/1Y3Lv6ul3BeSQltSAfwZdo,182188,4
0.538,0.489,4,-11.155,1,0.0523,0.193,8.88e-05,0.209,0.393,79.245,audio_features,4E93IPDPbaNJUDTpur3V63,spotify:track:4E93IPDPbaNJUDTpur3V63,https://api.spotify.com/v1/tracks/4E93IPDPbaNJUDTpur3V63,https://api.spotify.com/v1/audio-analysis/4E93IPDPbaNJUDTpur3V63,202023,4
0.528,0.309,0,-7.398,1,0.0329,0.924,2.1e-06,0.282,0.307,133.83,audio_features,6N1K5OVVCopBjGViHs2IvP,spotify:track:6N1K5OVVCopBjGViHs2IvP,https://api.spotify.com/v1/tracks/6N1K5OVVCopBjGViHs2IvP,https://api.spotify.com/v1/audio-analysis/6N1K5OVVCopBjGViHs2IvP,185422,4
0.448,0.606,3,-4.565,1,0.0609,0.577,0.0,0.217,0.483,121.15,audio_features,1zu2GKHPJIsUu80SUJX4H4,spotify:track:1zu2GKHPJIsUu80SUJX4H4,https://api.spotify.com/v1/tracks/1zu2GKHPJIsUu80SUJX4H4,https://api.spotify.com/v1/audio-analysis/1zu2GKHPJIsUu80SUJX4H4,163613,4
0.661,0.776,8,-5.054,1,0.0366,0.125,0.000152,0.119,0.17,145.993,audio_features,4o3XxiQ9BljY4OU38zanC0,spotify:track:4o3XxiQ9BljY4OU38zanC0,https://api.spotify.com/v1/tracks/4o3XxiQ9BljY4OU38zanC0,https://api.spotify.com/v1/audio-analysis/4o3XxiQ9BljY4OU38zanC0,193977,4
0.526,0.321,2,-6.725,1,0.0425,0.153,0.000279,0.171,0.164,137.962,audio_features,6ffYo8tC59HxyHl38hVJ1j,spotify:track:6ffYo8tC59HxyHl38hVJ1j,https://api.spotify.com/v1/tracks/6ffYo8tC59HxyHl38hVJ1j,https://api.spotify.com/v1/audio-analysis/6ffYo8tC59HxyHl38hVJ1j,222664,4
0.685,0.57,10,-5.485,1,0.0303,0.624,9.85e-05,0.125,0.438,110.512,audio_features,7kWHoZvIn3TzxUHYrszYFc,spotify:track:7kWHoZvIn3TzxUHYrszYFc,https://api.spotify.com/v1/tracks/7kWHoZvIn3TzxUHYrszYFc,https://api.spotify.com/v1/audio-analysis/7kWHoZvIn3TzxUHYrszYFc,145520,4
0.777,0.415,10,-8.746,1,0.033,0.608,0.0,0.309,0.609,129.917,audio_features,0WkapTWP1Z1kJqxj2Hjzcl,spotify:track:0WkapTWP1Z1kJqxj2Hjzcl,https://api.spotify.com/v1/tracks/0WkapTWP1Z1kJqxj2Hjzcl,https://api.spotify.com/v1/audio-analysis/0WkapTWP1Z1kJqxj2Hjzcl,159040,4
0.735,0.37,5,-12.581,0,0.0705,0.389,0.00163,0.106,0.305,112.015,audio_features,4q3biaQQoADspV16lbsfPH,spotify:track:4q3biaQQoADspV16lbsfPH,https://api.spotify.com/v1/tracks/4q3biaQQoADspV16lbsfPH,https://api.spotify.com/v1/audio-analysis/4q3biaQQoADspV16lbsfPH,157524,4
0.529,0.434,2,-8.844,1,0.223,0.302,0.0,0.111,0.603,161.963,audio_features,27RDHPogNiOiPshJZ2cEVT,spotify:track:27RDHPogNiOiPshJZ2cEVT,https://api.spotify.com/v1/tracks/27RDHPogNiOiPshJZ2cEVT,https://api.spotify.com/v1/audio-analysis/27RDHPogNiOiPshJZ2cEVT,196452,4
0.72,0.819,1,-4.588,1,0.0362,0.0411,0.0,0.0606,0.898,131.99,audio_features,21AziTMaZwcLflGMAj85o5,spotify:track:21AziTMaZwcLflGMAj85o5,https://api.spotify.com/v1/tracks/21AziTMaZwcLflGMAj85o5,https://api.spotify.com/v1/audio-analysis/21AziTMaZwcLflGMAj85o5,183014,4
0.606,0.819,9,-4.804,1,0.049,0.00298,0.0,0.0702,0.744,75.006,audio_features,3Z39gbqdaGL3WJXBG0gcuE,spotify:track:3Z39gbqdaGL3WJXBG0gcuE,https://api.spotify.com/v1/tracks/3Z39gbqdaGL3WJXBG0gcuE,https://api.spotify.com/v1/audio-analysis/3Z39gbqdaGL3WJXBG0gcuE,194973,4
0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,audio_features,273QnyCvJB65rScHJ1nPZb,spotify:track:273QnyCvJB65rScHJ1nPZb,https://api.spotify.com/v1/tracks/273QnyCvJB65rScHJ1nPZb,https://api.spotify.com/v1/audio-analysis/273QnyCvJB65rScHJ1nPZb,212040,3
0.627,0.846,10,-5.586,1,0.0509,0.0451,0.0,0.0756,0.787,163.999,audio_features,3nW4VHtV1yDrc98N7SzDz8,spotify:track:3nW4VHtV1yDrc98N7SzDz8,https://api.spotify.com/v1/tracks/3nW4VHtV1yDrc98N7SzDz8,https://api.spotify.com/v1/audio-analysis/3nW4VHtV1yDrc98N7SzDz8,194173,4
0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,audio_features,6xGruZOHLs39ZbVccQTuPZ,spotify:track:6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/audio-analysis/6xGruZOHLs39ZbVccQTuPZ,233456,3
0.472,0.389,7,-10.068,1,0.0502,0.797,0.0,0.114,0.512,82.007,audio_features,0GlO3iD7ParRcxXPRz6o04,spotify:track:0GlO3iD7ParRcxXPRz6o04,https://api.spotify.com/v1/tracks/0GlO3iD7ParRcxXPRz6o04,https://api.spotify.com/v1/audio-analysis/0GlO3iD7ParRcxXPRz6o04,160000,4
0.54,0.285,3,-8.155,1,0.0405,0.884,0.0,0.0886,0.499,109.815,audio_features,14gvk01eM5IRCg16zgKIqN,spotify:track:14gvk01eM5IRCg16zgKIqN,https://api.spotify.com/v1/tracks/14gvk01eM5IRCg16zgKIqN,https://api.spotify.com/v1/audio-analysis/14gvk01eM5IRCg16zgKIqN,163379,3
